name,Measure,geo_type_name,geo_entity_id,geo_entity_name,year_description,data_value
Fine Particulate Matter (PM2.5),Mean,UHF34,203,Bedford Stuyvesant - Crown Heights,Annual Average 2016,7.94
Fine Particulate Matter (PM2.5),Mean,UHF34,204,East New York,Annual Average 2016,7.8
Fine Particulate Matter (PM2.5),Mean,UHF34,205,Sunset Park,Annual Average 2016,8.4
Fine Particulate Matter (PM2.5),Mean,UHF34,206,Borough Park,Annual Average 2016,7.45
Fine Particulate Matter (PM2.5),Mean,UHF34,207,East Flatbush - Flatbush,Annual Average 2016,7.64
Fine Particulate Matter (PM2.5),Mean,UHF34,208,Canarsie - Flatlands,Annual Average 2016,7.12
Fine Particulate Matter (PM2.5),Mean,UHF34,209,Bensonhurst - Bay Ridge,Annual Average 2016,7.11
Fine Particulate Matter (PM2.5),Mean,UHF34,210,Coney Island - Sheepshead Bay,Annual Average 2016,6.75
Fine Particulate Matter (PM2.5),Mean,UHF34,211,Williamsburg - Bushwick,Annual Average 2016,8.67
Fine Particulate Matter (PM2.5),Mean,UHF34,301,Washington Heights,Annual Average 2016,7.81
Fine Particulate Matter (PM2.5),Mean,UHF34,302,Central Harlem - Morningside Heights,Annual Average 2016,7.95
Fine Particulate Matter (PM2.5),Mean,UHF34,303,East Harlem,Annual Average 2016,8.19
Fine Particulate Matter (PM2.5),Mean,UHF34,304,Upper West Side,Annual Average 2016,8.49
Fine Particulate Matter (PM2.5),Mean,UHF34,401,Long Island City - Astoria,Annual Average 2016,8.65
Fine Particulate Matter (PM2.5),Mean,UHF34,402,West Queens,Annual Average 2016,8.14
Fine Particulate Matter (PM2.5),Mean,UHF34,403,Flushing - Clearview,Annual Average 2016,7.22
Fine Particulate Matter (PM2.5),Mean,UHF34,405,Ridgewood - Forest Hills,Annual Average 2016,7.56
Fine Particulate Matter (PM2.5),Mean,UHF34,407,Southwest Queens,Annual Average 2016,7.02
Fine Particulate Matter (PM2.5),Mean,UHF34,408,Jamaica,Annual Average 2016,6.99
Fine Particulate Matter (PM2.5),Mean,UHF34,409,Southeast Queens,Annual Average 2016,6.51
Fine Particulate Matter (PM2.5),Mean,UHF34,410,Rockaways,Annual Average 2016,5.98
